algorithm,problem,dataset_size,time_ms,solution_value,nodes_explored,configs_generated,memory_bytes,timestamp
WOD_Backtracking,WOD,28,3230.084,55,0,0,123293904,2026-01-04T17:21:39.943434
WOD_Backtracking,WOD,30,11351.972,60,0,0,10122000,2026-01-04T17:22:14.000081
WOD_Backtracking,WOD,32,35477.038,62,0,0,178133584,2026-01-04T17:24:00.431543
WOD_Backtracking,WOD,35,216699.126,66,0,0,79792416,2026-01-04T17:34:50.52567
WOD_BranchAndBound,WOD,5,0.316,5,0,0,79792416,2026-01-04T17:34:50.52875
WOD_BranchAndBound,WOD,8,0.194,15,0,0,79792416,2026-01-04T17:34:50.529692
WOD_BranchAndBound,WOD,10,0.307,15,0,0,80316704,2026-01-04T17:34:50.53091
WOD_BranchAndBound,WOD,12,0.476,20,0,0,82413856,2026-01-04T17:34:50.532672
WOD_BranchAndBound,WOD,15,2.339,25,0,0,92899616,2026-01-04T17:34:50.54003
WOD_BranchAndBound,WOD,18,7.148,29,0,0,148998432,2026-01-04T17:34:50.562194
WOD_BranchAndBound,WOD,20,19.643,35,0,0,171474640,2026-01-04T17:34:50.621831
WOD_BranchAndBound,WOD,22,66.064,41,0,0,130128192,2026-01-04T17:34:50.820766
WOD_BranchAndBound,WOD,25,551.117,49,0,0,673282336,2026-01-04T17:34:52.474934
WOD_BranchAndBound,WOD,28,4586.550,55,0,0,1773179616,2026-01-04T17:35:06.235656
FIQ_BruteForce,FIQ,5,0.285,1,1,0,2392520,2026-01-04T17:36:24.946683
FIQ_BruteForce,FIQ,6,0.011,1,1,0,2457624,2026-01-04T17:36:24.947023
FIQ_BruteForce,FIQ,7,0.162,2,128,0,2751760,2026-01-04T17:36:24.947756
FIQ_BruteForce,FIQ,8,0.352,2,256,0,3329408,2026-01-04T17:36:24.949115
FIQ_BruteForce,FIQ,9,0.737,2,512,0,4517288,2026-01-04T17:36:24.951654
FIQ_BruteForce,FIQ,10,1.099,2,1024,0,7044856,2026-01-04T17:36:24.955612
FIQ_BruteForce,FIQ,11,0.582,2,2048,0,12453696,2026-01-04T17:36:24.957894
FIQ_BruteForce,FIQ,12,1.649,2,4096,0,7094688,2026-01-04T17:36:24.963369
FIQ_Backtracking,FIQ,5,0.012,1,1,0,7094688,2026-01-04T17:36:24.964339
FIQ_Backtracking,FIQ,8,0.011,2,1,8,7094688,2026-01-04T17:36:24.96465
FIQ_Backtracking,FIQ,10,0.012,2,1,10,7230424,2026-01-04T17:36:24.964964
FIQ_Backtracking,FIQ,12,0.015,2,1,12,7413008,2026-01-04T17:36:24.965312
FIQ_Backtracking,FIQ,15,0.924,3,1,13448,8461568,2026-01-04T17:36:24.968882
FIQ_Backtracking,FIQ,18,1.032,3,1,14692,9510144,2026-01-04T17:36:24.97277
FIQ_Backtracking,FIQ,20,0.691,3,1,17370,10923856,2026-01-04T17:36:24.975353
FIQ_Backtracking,FIQ,22,0.604,3,1,15820,12155000,2026-01-04T17:36:24.977602
FIQ_Backtracking,FIQ,25,184392.080,4,1,11995922934,82816832,2026-01-04T17:45:38.157393
FIQ_Backtracking,FIQ,28,325124.811,4,1,23267373990,51380192,2026-01-04T18:01:53.525632
FIQ_Greedy_FirstFit,FIQ,5,0.008,1,0,0,51380192,2026-01-04T18:01:53.528085
FIQ_Greedy_FirstFit,FIQ,10,0.004,2,0,0,51380192,2026-01-04T18:01:53.528313
FIQ_Greedy_FirstFit,FIQ,15,0.005,3,0,0,51380192,2026-01-04T18:01:53.52857
FIQ_Greedy_FirstFit,FIQ,20,0.006,3,0,0,51380192,2026-01-04T18:01:53.528831
FIQ_Greedy_FirstFit,FIQ,25,0.010,4,0,0,51380192,2026-01-04T18:01:53.529114
FIQ_Greedy_FirstFit,FIQ,30,0.008,4,0,0,51904480,2026-01-04T18:01:53.529469
FIQ_Greedy_FirstFit,FIQ,40,0.009,6,0,0,51904480,2026-01-04T18:01:53.529876
FIQ_Greedy_FirstFit,FIQ,50,0.012,7,0,0,51904480,2026-01-04T18:01:53.530373
FIQ_Greedy_FirstFit,FIQ,75,0.020,11,0,0,52428768,2026-01-04T18:01:53.531022
FIQ_Greedy_FirstFit,FIQ,100,0.029,13,0,0,52428768,2026-01-04T18:01:53.532074
FIQ_Greedy_FirstFit,FIQ,150,0.053,20,0,0,52953056,2026-01-04T18:01:53.533479
FIQ_Greedy_FirstFit,FIQ,200,0.082,26,0,0,53477344,2026-01-04T18:01:53.535321
FIQ_Greedy_FirstFit,FIQ,300,0.157,40,0,0,54525920,2026-01-04T18:01:53.538282
FIQ_Greedy_FirstFit,FIQ,500,0.380,67,0,0,56098784,2026-01-04T18:01:53.542078
FIQ_Greedy_FirstFit,FIQ,750,0.229,103,0,0,58195936,2026-01-04T18:01:53.546407
FIQ_Greedy_FirstFit,FIQ,1000,0.371,138,0,0,61341664,2026-01-04T18:01:53.552504
FIQ_Greedy_FFD,FIQ,5,0.108,1,0,0,61341664,2026-01-04T18:01:53.552972
FIQ_Greedy_FFD,FIQ,10,0.007,2,0,0,61341664,2026-01-04T18:01:53.553136
FIQ_Greedy_FFD,FIQ,15,0.011,3,0,0,61341664,2026-01-04T18:01:53.553323
FIQ_Greedy_FFD,FIQ,20,0.013,3,0,0,61341664,2026-01-04T18:01:53.553536
FIQ_Greedy_FFD,FIQ,25,0.012,4,0,0,61865952,2026-01-04T18:01:53.553758
FIQ_Greedy_FFD,FIQ,30,0.015,4,0,0,61865952,2026-01-04T18:01:53.554008
FIQ_Greedy_FFD,FIQ,40,0.029,6,0,0,61865952,2026-01-04T18:01:53.554346
FIQ_Greedy_FFD,FIQ,50,0.032,7,0,0,61865952,2026-01-04T18:01:53.554719
FIQ_Greedy_FFD,FIQ,75,0.049,11,0,0,62390240,2026-01-04T18:01:53.555224
FIQ_Greedy_FFD,FIQ,100,0.071,13,0,0,62390240,2026-01-04T18:01:53.555898
FIQ_Greedy_FFD,FIQ,150,0.097,20,0,0,62914528,2026-01-04T18:01:53.556879
FIQ_Greedy_FFD,FIQ,200,0.138,26,0,0,63963104,2026-01-04T18:01:53.55814
FIQ_Greedy_FFD,FIQ,300,0.269,40,0,0,64487392,2026-01-04T18:01:53.560199
FIQ_Greedy_FFD,FIQ,500,0.511,68,0,0,66060256,2026-01-04T18:01:53.563983
FIQ_Greedy_FFD,FIQ,750,0.481,104,0,0,68157408,2026-01-04T18:01:53.568967
FIQ_Greedy_FFD,FIQ,1000,0.563,140,0,0,71303136,2026-01-04T18:01:53.576223
FIQ_Greedy_Priority,FIQ,5,0.006,1,0,0,71303136,2026-01-04T18:01:53.576402
FIQ_Greedy_Priority,FIQ,10,0.005,2,0,0,71303136,2026-01-04T18:01:53.576555
FIQ_Greedy_Priority,FIQ,15,0.007,3,0,0,71827424,2026-01-04T18:01:53.576723
FIQ_Greedy_Priority,FIQ,20,0.009,3,0,0,71827424,2026-01-04T18:01:53.576908
FIQ_Greedy_Priority,FIQ,25,0.011,4,0,0,71827424,2026-01-04T18:01:53.577129
FIQ_Greedy_Priority,FIQ,30,0.014,4,0,0,71827424,2026-01-04T18:01:53.577368
FIQ_Greedy_Priority,FIQ,40,0.026,6,0,0,72351712,2026-01-04T18:01:53.577686
FIQ_Greedy_Priority,FIQ,50,0.027,7,0,0,72351712,2026-01-04T18:01:53.578033
FIQ_Greedy_Priority,FIQ,75,0.044,11,0,0,72892400,2026-01-04T18:01:53.578535
FIQ_Greedy_Priority,FIQ,100,0.059,14,0,0,73400288,2026-01-04T18:01:53.579159
FIQ_Greedy_Priority,FIQ,150,0.109,21,0,0,73924576,2026-01-04T18:01:53.580105
FIQ_Greedy_Priority,FIQ,200,0.148,28,0,0,74973152,2026-01-04T18:01:53.581368
FIQ_Greedy_Priority,FIQ,300,0.271,43,0,0,76546016,2026-01-04T18:01:53.58344
FIQ_Greedy_Priority,FIQ,500,0.504,73,0,0,78643168,2026-01-04T18:01:53.587072
FIQ_Greedy_Priority,FIQ,750,0.527,111,0,0,82837472,2026-01-04T18:01:53.591903
FIQ_Greedy_Priority,FIQ,1000,0.812,149,0,0,88080352,2026-01-04T18:01:53.599002
FIQ_Greedy_BestFit,FIQ,5,0.004,1,0,0,88080352,2026-01-04T18:01:53.599143
FIQ_Greedy_BestFit,FIQ,10,0.008,2,0,0,88080352,2026-01-04T18:01:53.599287
FIQ_Greedy_BestFit,FIQ,15,0.015,3,0,0,88080352,2026-01-04T18:01:53.599456
FIQ_Greedy_BestFit,FIQ,20,0.024,3,0,0,88080352,2026-01-04T18:01:53.599667
FIQ_Greedy_BestFit,FIQ,25,0.035,4,0,0,88604640,2026-01-04T18:01:53.59993
FIQ_Greedy_BestFit,FIQ,30,0.050,4,0,0,88604640,2026-01-04T18:01:53.600246
FIQ_Greedy_BestFit,FIQ,40,0.084,6,0,0,89128928,2026-01-04T18:01:53.600699
FIQ_Greedy_BestFit,FIQ,50,0.129,7,0,0,89653216,2026-01-04T18:01:53.601325
FIQ_Greedy_BestFit,FIQ,75,0.296,11,0,0,90701792,2026-01-04T18:01:53.602533
FIQ_Greedy_BestFit,FIQ,100,0.519,13,0,0,92274656,2026-01-04T18:01:53.604507
FIQ_Greedy_BestFit,FIQ,150,0.474,20,0,0,95944672,2026-01-04T18:01:53.606537
FIQ_Greedy_BestFit,FIQ,200,0.942,26,0,0,7414488,2026-01-04T18:01:53.610132
FIQ_Greedy_BestFit,FIQ,300,1.829,40,0,0,20521688,2026-01-04T18:01:53.616803
FIQ_Greedy_BestFit,FIQ,500,5.089,67,0,0,55648984,2026-01-04T18:01:53.634199
FIQ_Greedy_BestFit,FIQ,750,11.521,103,0,0,40621064,2026-01-04T18:01:53.671745
FIQ_Greedy_BestFit,FIQ,1000,20.510,137,0,0,84759336,2026-01-04T18:01:53.737179
